usage_hours,operating_temperature,last_maintenance,failure_status
1360,49.08670202902077,119,1
4272,50.7474593529153,372,0
3592,64.50121665371994,218,1
966,61.930751189654266,682,0
4926,44.153002615818835,615,0
3944,33.08138644964519,320,0
3671,58.70325006615977,625,1
3419,45.30223607319691,614,0
630,27.936572667519822,827,0
2185,74.03433807418314,840,0
1269,61.47331145657926,435,0
2891,60.991031386728885,797,0
2933,69.35503255470044,154,0
1684,51.77970071930486,599,0
3885,68.90326570414743,999,0
4617,49.88544521066034,987,1
3404,24.030523994942605,865,0
974,44.314885281661326,635,0
1582,49.84789363879344,261,1
3058,63.212154897937744,769,0
2547,26.39472380772046,693,1
3247,28.40111231962694,258,0
1475,35.821028158076984,287,1
2306,35.98990360225294,159,0
689,63.93107470754374,916,0
3234,35.04383963369587,418,0
3505,57.98588380144685,977,1
2399,49.65643100829628,310,0
1767,54.39766269076404,505,0
2028,70.28641779069775,763,0
3702,44.26289009294146,208,0
4056,66.25468262385623,175,0
4390,45.32216357304124,641,0
1146,41.23228259367497,413,1
3388,77.51763063879324,216,0
2935,31.06225524073779,967,0
1100,25.420217634656474,803,0
2863,66.25915553212872,118,0
2561,24.094982321245496,531,0
741,70.22473944218177,784,0
2541,46.231603781434615,839,0
3324,74.93082063751484,449,0
3112,63.291971667314336,282,0
1863,56.62428002047746,212,1
1978,76.95840782346593,282,1
3056,43.79896238312325,580,0
1275,77.24521619237798,245,1
4514,28.100076645272416,930,0
534,49.02529651594477,727,0
3652,36.19467334353169,212,0
2455,52.39056673449161,862,0
2085,29.720832673495075,575,0
4443,70.4917796186026,862,0
3573,70.78447095887344,402,0
1521,77.31417876340873,924,0
3961,29.280328452994173,217,0
3113,57.399953054299445,912,0
4343,48.45423852202218,260,0
2000,40.66302392265399,500,0
661,41.09240966805313,297,1
4797,44.76761303640514,359,1
2481,62.29553298133718,759,0
1495,55.89716349608928,851,1
3842,47.58089076566787,146,0
4298,24.556004622177326,498,0
1775,24.665920644737426,809,0
1516,20.140363437546696,658,0
837,78.06196329242519,177,1
1378,20.315229113503094,223,0
1576,26.185624760824695,174,0
4493,38.875793408564654,970,0
879,68.44581510900568,236,0
992,77.72592714584707,701,1
2562,67.40081352751136,499,0
4384,61.43361394673843,936,0
564,51.27804004481416,604,0
3068,25.202312711731018,599,0
2527,77.49024758023583,672,0
3195,65.50354483674089,237,0
1995,58.33696312005571,149,0
891,65.54215073233098,870,0
4974,63.44619975638832,718,1
4061,58.23389478736921,724,1
2778,78.83460801079929,961,0
3599,74.2018287581615,353,0
700,58.7998951470298,729,0
3604,61.59051268741548,809,0
2954,23.0957483995226,948,0
4145,60.19504787300235,976,0
1304,22.64992626260601,662,0
3231,55.29582541819586,856,0
3273,79.96120997395009,525,0
2070,53.34839488623078,646,0
3190,48.392607084880005,401,0
4340,38.77129139033525,680,0
1528,27.231354727187867,448,0
1002,63.8614202874969,931,0
4993,31.555941667137827,148,0
1370,26.916921274837062,173,0
4988,45.30575958383075,803,0
706,67.72051027754584,360,0
1984,64.70387288721322,455,1
1363,23.292956878788495,681,0
3290,47.30862110216937,701,0
1063,51.34607456427014,359,0
4691,58.67279903754933,737,0
2257,59.01004102659369,842,0
2178,41.88183496743835,394,0
3742,53.64063164021084,740,0
1559,48.86371303064519,891,1
2222,73.09990139139686,412,0
3814,51.81590795809401,711,0
3657,46.4619297048897,937,1
3125,44.26912698091104,908,0
3229,54.34566556600794,281,1
2097,68.23861876405385,785,0
3560,52.304089422847255,927,1
3193,59.69931050483249,463,0
4127,64.2713460143915,287,0
1863,51.21008659272391,668,0
2481,45.60902339929186,642,0
2163,72.59992267174697,695,0
2029,45.05036504167353,763,0
2538,47.71657103453526,647,0
3802,79.42047880050663,824,0
2737,20.014251414553076,507,0
1806,31.12837457460335,975,0
4529,43.03783339518354,717,1
3175,75.95539456551518,513,0
1782,24.20178234484826,441,1
1209,20.569126017709884,319,0
4913,23.161030158633714,262,0
4248,25.31260463681709,319,0
1163,22.255806392375654,369,0
2498,48.78687961139029,731,0
3945,54.845432433639665,947,0
4243,36.301218264140246,499,0
1995,43.897243038538136,281,1
3804,25.501960106685807,717,0
4263,40.182227829705326,828,0
2353,51.35115149807139,304,0
1791,63.93630843107871,681,0
4081,20.200781722578753,655,0
3957,48.038645992259156,940,0
2136,37.82017258729293,912,0
4196,71.16930930151409,327,0
3499,62.933198914054515,795,0
3652,55.34651206825369,718,1
1198,36.63593874180641,695,1
2660,74.62034612345207,949,0
4597,22.70604063321939,349,0
1354,26.568055920746907,974,0
3974,43.497808432421365,540,1
2207,27.466253437811382,632,0
3277,77.3849418535655,295,0
2233,67.879359328603,789,0
4010,35.53895909610882,618,0
702,55.31325373839472,169,0
3755,78.9398309048049,738,0
4718,73.05193868789019,498,0
4996,56.04790678653188,771,0
1266,74.22343803051623,859,0
4889,79.35109458880154,302,0
2827,64.60116937361745,247,0
3431,23.89918456897364,571,0
697,44.094814185529245,754,1
2430,70.26954411699472,298,0
