user_feedback,polarity,subjectivity
"The service is great, very happy with the performance!",0.9,0.875
"I am disappointed, the system crashes frequently.",-0.325,0.525
"Good support, but the response time could be improved.",0.7,0.6000000000000001
"Terrible experience, I will not use this again.",-1.0,1.0
"Love the new update, it makes things easier!",0.3352272727272727,0.5272727272727272
"It was okay, nothing special but not bad either.",0.40238095238095234,0.5793650793650794
"Worst experience ever, everything is slow and unresponsive.",-0.65,0.7
"Fantastic, everything works as expected, great job!",0.43333333333333335,0.6833333333333332
"The system is slow, but it gets the job done eventually.",-0.30000000000000004,0.39999999999999997
"Happy with the service, but I wish there were more features.",0.65,0.75
